Adobe After Effects 8.0 Keyframe Data

	Units Per Second	12.5
	Source Width	1
	Source Height	1
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Rotation
	Frame	degrees	
	0	123.092	
	1	123.092	
	2	123.092	
	3	123.092	
	4	123.092	
	5	123.092	
	6	123.092	
	7	123.092	
	8	123.092	
	9	123.092	
	10	123.092	
	11	123.092	
	12	133.938	
	13	206.199	
	14	287.025	
	15	367.851	
	16	448.677	
	17	529.503	
	18	610.329	
	19	691.155	
	20	771.981	
	21	852.807	
	22	933.633	
	23	1014.46	
	24	1095.29	
	25	1176.11	
	26	1231.93	
	27	1218.67	
	28	1214.81	
	29	1219.57	
	30	1221.68	
	31	1207.6	
	32	1193.53	
	33	1180.4	
	34	1169.84	
	35	1159.28	
	36	1148.72	
	37	1145.03	
	38	1148.11	
	39	1159.08	
	40	1167.52	
	41	1170.61	
	42	1173.14	
	43	1179.42	
	44	1179.46	
	45	1179.46	
	46	1179.46	
	47	1183.46	
	48	95.2619	
	49	95.2619	
	50	95.2619	
	51	95.2619	
	52	95.2619	
	53	95.2619	
	54	95.2619	
	55	95.2619	
	56	95.2619	
	57	95.2619	
	58	95.2619	
	59	95.2619	
	60	95.2619	
	61	95.2619	
	62	95.2619	
	63	95.2619	
	64	67.4318	
	65	39.6017	
	66	73.3723	
	67	115.766	
	68	158.159	
	69	200.552	
	70	242.946	
	71	285.339	
	72	327.732	
	73	370.126	
	74	412.519	
	75	454.912	
	76	497.306	
	77	536.367	
	78	531.725	
	79	497.391	
	80	463.057	
	81	427.829	
	82	374.588	
	83	313.177	
	84	243.595	
	85	165.839	
	86	112.488	
	87	64.3059	
	88	38.0033	
	89	30.3026	
	90	22.6019	
	91	33.3474	
	92	78.2197	
	93	123.092	
	94	123.092	
	95	123.092	
	96	123.092	
	97	123.092	
	98	123.092	
	99	123.092	
	100	123.092	
	101	123.092	
	102	123.092	
	103	123.092	
	104	123.092	
	105	123.092	
	106	123.092	
	107	52.8285	
	108	-17.435	
	109	-29.5235	
	110	-22.2205	
	111	-14.9174	
	112	-7.61437	
	113	-0.311321	
	114	6.99173	
	115	14.2948	
	116	21.5978	
	117	28.9009	
	118	2.37879	
	119	-57.9685	
	120	-118.316	
	121	-178.663	
	122	-240.909	
	123	-324.887	
	124	-402.386	
	125	-451.955	
	126	-501.523	
	127	-512.963	
	128	-524.403	
	129	-528.417	
	130	-518.572	
	131	-507.131	
	132	-486.992	
	133	-471.74	
	134	-464.183	
	135	-104.183	
	136	-96.8119	
	137	-89.441	
	138	-82.0702	
	139	-74.6993	
	140	-67.3285	
	141	-59.9576	
	142	-52.5868	
	143	-45.216	
	144	-37.8451	
	145	-30.4743	
	146	-23.1034	
	147	-15.7326	
	148	-8.36173	
	149	-0.990889	
	150	6.37995	
	151	13.7508	
	152	21.1216	
	153	28.4925	
	154	35.8633	
	155	43.2342	
	156	50.605	
	157	57.9759	
	158	65.3467	
	159	72.7175	
	160	80.0884	
	161	87.4592	
	162	94.8301	
	163	102.201	
	164	109.572	
	165	116.943	
	166	124.313	
	167	131.684	
	168	139.055	
	169	146.426	
	170	153.797	
	171	161.168	
	172	168.539	
	173	175.909	
	174	183.28	
	175	190.651	
	176	198.022	
	177	205.393	
	178	212.764	
	179	220.134	
	180	227.505	
	181	234.876	
	182	242.247	
	183	249.618	
	184	256.989	
	185	264.359	
	186	271.73	
	187	279.101	
	188	286.472	
	189	293.843	
	190	301.214	
	191	308.585	
	192	315.955	
	193	323.326	
	194	350.096	
	195	347.675	
	196	284.101	
	197	220.528	
	198	172.282	
	199	176.993	
	200	185.704	
	201	201.603	
	202	217.502	
	203	233.4	
	204	249.299	
	205	265.198	
	206	290.217	
	207	319.221	
	208	326.077	
	209	361.22	
	210	396.364	
	211	431.507	
	212	466.651	
	213	522.486	
	214	589.056	
	215	655.625	
	216	724.158	
	217	813.221	
	218	914.311	
	219	1000.18	
	220	1016.53	
	221	1028.65	
	222	1023.14	
	223	1009.1	
	224	998.297	
	225	994.209	
	226	996.837	
	227	1006.18	
	228	1022.24	
	229	1045.01	
	230	1074.5	
	231	1110.71	
	232	1153.63	
	233	1198.64	
	234	1207.71	
	235	1208.03	
	236	1209.14	
	237	1216.94	
	238	1231.44	
	239	1246.74	
	240	1248.64	
	241	1252.59	
	242	1261.22	
